batch_id,child_entity,child_column,parent_entity,parent_column,relationship_type,orphan_count,sample_orphan_value
B001,address,customer_id,customer,customer_id,many-to-one,1,C_DOES_NOT_EXIST
B001,category,parent_category_id,category,category_id,self-reference,0,
B001,product_category,product_id,product,product_id,many-to-one,1,P_DOES_NOT_EXIST
B001,product_category,category_id,category,category_id,many-to-one,1,CAT_DOES_NOT_EXIST
B001,order,customer_id,customer,customer_id,many-to-one,0,
B001,order,billing_address_id,address,address_id,many-to-one,0,
B001,order,shipping_address_id,address,address_id,many-to-one,0,
B001,order_item,order_id,order,order_id,many-to-one,1,O_DOES_NOT_EXIST
B001,order_item,product_id,product,product_id,many-to-one,1,P_DOES_NOT_EXIST
B001,payment,order_id,order,order_id,many-to-one,1,O_DOES_NOT_EXIST
B001,payment,customer_id,customer,customer_id,many-to-one,0,
B001,return,order_id,order,order_id,many-to-one,1,O_DOES_NOT_EXIST
B001,return,customer_id,customer,customer_id,many-to-one,0,
B001,return_item,return_id,return,return_id,many-to-one,0,
B001,return_item,order_item_id,order_item,order_item_id,many-to-one,1,OI_DOES_NOT_EXIST
B001,return_item,product_id,product,product_id,many-to-one,0,
B002,address,customer_id,customer,customer_id,many-to-one,1,C_DOES_NOT_EXIST
B002,category,parent_category_id,category,category_id,self-reference,0,
B002,product_category,product_id,product,product_id,many-to-one,1,P_DOES_NOT_EXIST
B002,product_category,category_id,category,category_id,many-to-one,1,CAT_DOES_NOT_EXIST
B002,order,customer_id,customer,customer_id,many-to-one,0,
B002,order,billing_address_id,address,address_id,many-to-one,0,
B002,order,shipping_address_id,address,address_id,many-to-one,0,
B002,order_item,order_id,order,order_id,many-to-one,1,O_DOES_NOT_EXIST
B002,order_item,product_id,product,product_id,many-to-one,1,P_DOES_NOT_EXIST
B002,payment,order_id,order,order_id,many-to-one,1,O_DOES_NOT_EXIST
B002,payment,customer_id,customer,customer_id,many-to-one,0,
B002,return,order_id,order,order_id,many-to-one,1,O_DOES_NOT_EXIST
B002,return,customer_id,customer,customer_id,many-to-one,0,
B002,return_item,return_id,return,return_id,many-to-one,0,
B002,return_item,order_item_id,order_item,order_item_id,many-to-one,1,OI_DOES_NOT_EXIST
B002,return_item,product_id,product,product_id,many-to-one,0,
