source_record_id,product_id,sku,product_name,brand,unit_price,currency_code,is_active,created_at,updated_at
SRC_PRODUCT_B001_000000001,P000001,RV-000001,Pro Shirt 0001,Lumina,227.86,GBP,Y,2025-06-10 16:56:12,2025-07-16 16:56:12
SRC_PRODUCT_B001_000000002,P000002,RV-000002,Pro Lamp 0002,Axiom,446.36,GBP,Y,2025-06-06 18:15:29,2025-06-16 18:15:29
SRC_PRODUCT_B001_000000003,P000003,RV-000003,Pro Camera 0003,Orbis,370.21,GBP,Y,2024-10-23 07:16:59,2024-11-08 07:16:59
SRC_PRODUCT_B001_000000004,P000004,RV-000004,Essential Kettle 0004,Axiom,225.29,GBP,Y,2024-07-12 19:10:31,2024-07-20 19:10:31
SRC_PRODUCT_B001_000000005,P000005,RV-000005,Ultra Kettle 0005,Kestrel,446.81,GBP,Y,2024-04-03 05:01:02,2024-07-01 05:01:02
SRC_PRODUCT_B001_000000006,P000006,RV-000006,Compact Watch 0006,Kestrel,782.16,GBP,Y,2025-07-20 16:19:17,2025-07-20 16:19:17
SRC_PRODUCT_B001_000000007,P000007,RV-000007,Pro Headphones 0007,Orbis,164.82,GBP,Y,2025-11-26 21:42:52,2026-01-02 21:42:52
SRC_PRODUCT_B001_000000008,P000008,RV-000008,Pro Camera 0008,Cinder,168.63,GBP,Y,2025-12-30 21:14:12,2026-03-29 21:14:12
SRC_PRODUCT_B001_000000009,P000009,RV-000009,Classic Mixer 0009,Meridian,732.21,GBP,Y,2025-12-18 13:03:47,2026-01-03 13:03:47
SRC_PRODUCT_B001_000000010,P000010,RV-000010,Smart Bottle 0010,Lumina,951.01,GBP,Y,2026-04-10 18:22:04,2026-06-10 18:22:04
SRC_PRODUCT_B001_000000011,P000011,RV-000011,Eco Keyboard 0011,Lumina,583.37,GBP,N,2023-04-06 12:31:23,2023-06-12 12:31:23
SRC_PRODUCT_B001_000000012,P000012,RV-000012,Classic Mixer 0012,Orbis,41.85,GBP,Y,2024-12-07 20:15:08,2025-03-01 20:15:08
SRC_PRODUCT_B001_000000013,P000013,RV-000013,Eco Blanket 0013,Axiom,982.85,GBP,Y,2025-11-10 13:53:26,2026-01-24 13:53:26
SRC_PRODUCT_B001_000000014,P000014,RV-000014,Smart Serum 0014,Velora,832.99,GBP,Y,2025-08-30 06:55:03,2025-11-24 06:55:03
SRC_PRODUCT_B001_000000015,P000015,RV-000015,Modern Blanket 0015,Kestrel,756.83,GBP,Y,2026-04-25 21:47:27,2026-07-13 21:47:27
SRC_PRODUCT_B001_000000016,P000016,RV-000016,Premium Mixer 0016,Velora,403.08,GBP,Y,2024-05-24 13:10:16,2024-06-12 13:10:16
SRC_PRODUCT_B001_000000017,P000017,RV-000017,Ultra Trainer 0017,Kestrel,493.67,GBP,Y,2023-02-23 01:07:47,2023-03-28 01:07:47
SRC_PRODUCT_B001_000000018,P000018,RV-000018,Everyday Jacket 0018,Velora,385.99,GBP,Y,2026-06-20 10:48:30,2026-08-24 10:48:30
SRC_PRODUCT_B001_000000019,P000019,RV-000019,Pro Shirt 0019,Orbis,103.18,GBP,Y,2026-01-31 01:36:22,2026-02-11 01:36:22
SRC_PRODUCT_B001_000000020,P000020,RV-000020,Premium Mixer 0020,Cinder,311.31,GBP,Y,2025-09-14 15:52:39,2025-12-06 15:52:39
SRC_PRODUCT_B001_000000021,P000021,RV-000021,Smart Backpack 0021,Northstar,190.82,GBP,Y,2025-04-09 11:04:01,2025-04-09 11:04:01
SRC_PRODUCT_B001_000000022,P000022,RV-000022,Essential Shirt 0022,Axiom,965.79,GBP,Y,2025-02-02 04:10:00,2025-02-07 04:10:00
SRC_PRODUCT_B001_000000023,P000023,RV-000023,Eco Bottle 0023,Kestrel,154.66,GBP,Y,2024-05-12 06:00:06,2024-06-26 06:00:06
SRC_PRODUCT_B001_000000024,P000024,RV-000024,Everyday Trainer 0024,Velora,870.31,GBP,Y,2025-08-06 22:58:55,2025-09-27 22:58:55
SRC_PRODUCT_B001_000000025,P000025,RV-000025,Ultra Serum 0025,Kestrel,803.77,GBP,Y,2025-10-08 17:38:56,2025-10-14 17:38:56
SRC_PRODUCT_B001_000000026,P000026,RV-000026,Eco Lamp 0026,Northstar,970.54,GBP,Y,2023-08-01 00:02:45,2023-10-10 00:02:45
SRC_PRODUCT_B001_000000027,P000027,RV-000027,Pro Mixer 0027,Velora,663.48,GBP,Y,2023-07-30 04:13:23,2023-09-24 04:13:23
SRC_PRODUCT_B001_000000028,P000028,RV-000028,Smart Jacket 0028,Velora,448.63,GBP,Y,2025-04-21 20:27:20,2025-07-19 20:27:20
SRC_PRODUCT_B001_000000029,P000029,RV-000029,Ultra Blanket 0029,Cinder,968.28,GBP,Y,2024-03-01 10:40:53,2024-05-19 10:40:53
SRC_PRODUCT_B001_000000030,P000030,RV-000030,Ultra Watch 0030,Velora,735.45,GBP,Y,2023-12-04 06:10:36,2024-01-01 06:10:36
SRC_PRODUCT_B001_000000031,P000031,RV-000031,Smart Trainer 0031,Axiom,696.82,GBP,Y,2023-12-08 21:05:31,2023-12-09 21:05:31
SRC_PRODUCT_B001_000000032,P000032,RV-000032,Essential Trainer 0032,Axiom,636.65,GBP,Y,2025-03-08 05:45:26,2025-05-26 05:45:26
SRC_PRODUCT_B001_000000033,P000033,RV-000033,Ultra Blanket 0033,Meridian,793.69,GBP,Y,2024-10-31 22:44:27,2024-12-26 22:44:27
SRC_PRODUCT_B001_000000034,P000034,RV-000034,Classic Mixer 0034,Axiom,813.30,GBP,Y,2024-05-19 07:24:44,2024-08-02 07:24:44
SRC_PRODUCT_B001_000000035,P000035,RV-000035,Compact Speaker 0035,Northstar,842.45,GBP,Y,2023-02-14 18:32:03,2023-02-19 18:32:03
SRC_PRODUCT_B001_000000036,P000036,RV-000036,Eco Backpack 0036,Northstar,822.38,GBP,N,2023-05-30 21:49:11,2023-08-18 21:49:11
SRC_PRODUCT_B001_000000037,P000037,RV-000037,Compact Jacket 0037,Velora,767.34,GBP,Y,2026-02-19 03:56:06,2026-02-20 03:56:06
SRC_PRODUCT_B001_000000038,P000038,RV-000038,Premium Keyboard 0038,Meridian,230.32,GBP,Y,2024-02-21 13:11:39,2024-02-26 13:11:39
SRC_PRODUCT_B001_000000039,P000039,RV-000039,Classic Keyboard 0039,Axiom,653.24,GBP,Y,2025-04-29 12:30:26,2025-06-26 12:30:26
SRC_PRODUCT_B001_000000040,P000040,RV-000040,Essential Headphones 0040,Cinder,943.90,GBP,Y,2026-03-29 11:53:01,2026-05-03 11:53:01
SRC_PRODUCT_B001_000000041,P000041,RV-000041,Pro Trainer 0041,Velora,13.91,GBP,Y,2023-02-10 15:48:13,2023-03-31 15:48:13
SRC_PRODUCT_B001_000000042,P000042,RV-000042,Modern Headphones 0042,Kestrel,480.81,GBP,Y,2025-07-04 10:57:39,2025-09-06 10:57:39
SRC_PRODUCT_B001_000000043,P000043,RV-000043,Premium Speaker 0043,Axiom,246.76,GBP,N,2024-04-07 19:50:32,2024-07-03 19:50:32
SRC_PRODUCT_B001_000000044,P000044,RV-000044,Smart Shirt 0044,Kestrel,83.49,GBP,Y,2024-05-13 19:26:37,2024-08-02 19:26:37
SRC_PRODUCT_B001_000000045,P000045,RV-000045,Pro Backpack 0045,Kestrel,891.82,GBP,Y,2023-07-26 07:10:53,2023-08-07 07:10:53
SRC_PRODUCT_B001_000000046,P000046,RV-000046,Everyday Bottle 0046,Meridian,386.38,GBP,Y,2026-07-14 10:28:05,2026-10-08 10:28:05
SRC_PRODUCT_B001_000000047,P000047,RV-000047,Premium Serum 0047,Kestrel,224.72,GBP,Y,2023-08-31 14:18:02,2023-09-19 14:18:02
SRC_PRODUCT_B001_000000048,P000048,RV-000048,Ultra Speaker 0048,Lumina,229.83,GBP,Y,2025-10-05 06:17:45,2025-11-08 06:17:45
SRC_PRODUCT_B001_000000049,P000049,RV-000049,Everyday Serum 0049,Axiom,850.95,GBP,Y,2026-06-23 23:36:21,2026-09-12 23:36:21
SRC_PRODUCT_B001_000000050,P000050,RV-000050,Compact Bottle 0050,Meridian,298.96,GBP,Y,2026-03-03 05:31:40,2026-04-21 05:31:40
SRC_PRODUCT_B001_000000051,P000051,RV-000051,Eco Headphones 0051,Orbis,388.64,GBP,Y,2026-05-25 06:40:39,2026-06-13 06:40:39
SRC_PRODUCT_B001_000000052,P000052,RV-000052,Everyday Lamp 0052,Velora,864.91,GBP,Y,2025-04-21 09:06:30,2025-07-18 09:06:30
SRC_PRODUCT_B001_000000053,P000053,RV-000053,Compact Kettle 0053,Axiom,746.72,GBP,Y,2024-03-04 10:54:11,2024-05-01 10:54:11
SRC_PRODUCT_B001_000000054,P000054,RV-000054,Pro Kettle 0054,Northstar,67.10,GBP,Y,2026-07-07 06:29:49,2026-07-31 06:29:49
SRC_PRODUCT_B001_000000055,P000055,RV-000055,Ultra Kettle 0055,Lumina,541.98,GBP,True,2025-03-04 19:52:24,2025-04-10 19:52:24
SRC_PRODUCT_B001_000000056,P000056,RV-000056,Compact Mixer 0056,Lumina,345.98,GBP,Y,2026-01-27 14:34:52,2026-03-07 14:34:52
SRC_PRODUCT_B001_000000057,P000057,RV-000057,Compact Lamp 0057,Kestrel,154.08,GBP,Y,2025-06-01 07:45:56,2025-07-19 07:45:56
SRC_PRODUCT_B001_000000058,P000058,RV-000058,Everyday Keyboard 0058,Axiom,486.66,GBP,Y,2026-03-03 03:36:33,2026-03-14 03:36:33
SRC_PRODUCT_B001_000000059,P000059,RV-000059,Essential Kettle 0059,Lumina,952.39,GBP,Y,2025-12-23 19:58:27,2026-03-16 19:58:27
SRC_PRODUCT_B001_000000060,P000060,RV-000060,Compact Shirt 0060,Velora,689.32,GBP,N,2024-09-22 19:20:20,2024-12-19 19:20:20
SRC_PRODUCT_B001_000000061,P000061,RV-000061,Smart Mixer 0061,Meridian,517.43,GBP,Y,2024-05-24 15:02:49,2024-06-02 15:02:49
SRC_PRODUCT_B001_000000062,P000062,RV-000062,Modern Jacket 0062,Axiom,650.23,GBP,Y,2025-03-26 02:34:45,2025-06-09 02:34:45
SRC_PRODUCT_B001_000000063,P000063,RV-000063,Classic Jacket 0063,Meridian,683.64,GBP,Y,2025-09-26 00:01:55,2025-11-19 00:01:55
SRC_PRODUCT_B001_000000064,P000064,RV-000064,Everyday Bottle 0064,Lumina,145.89,GBP,Y,2024-10-14 06:50:26,2024-11-09 06:50:26
SRC_PRODUCT_B001_000000065,P000065,RV-000065,Modern Watch 0065,Axiom,579.93,GBP,Y,2025-01-29 02:01:27,2025-03-30 02:01:27
