source_record_id,return_id,order_id,customer_id,return_timestamp,return_status,return_reason,total_refund_amount,created_at,updated_at
SRC_RETURN_B001_000000001,R000000001,O000045517,C0031025,2024-10-30 14:26:02,COMPLETED,DAMAGED,346.76,2024-10-30 14:26:02,2024-10-30 14:26:02
SRC_RETURN_B001_000000002,R000000002,O000021136,C0006344,2025-03-30 20:16:08,COMPLETED,LATE_DELIVERY,3434.33,2025-03-30 20:16:08,2025-03-30 20:16:08
SRC_RETURN_B001_000000003,R000000003,O000087867,C0046481,2024-04-03 14:47:35,COMPLETED,DEFECTIVE,246.50,2024-04-03 14:47:35,2024-04-03 14:47:35
SRC_RETURN_B001_000000004,R000000004,O000112384,C0035369,2026-04-12 03:11:17,COMPLETED,DAMAGED,445.87,2026-04-12 03:11:17,2026-04-12 03:11:17
SRC_RETURN_B001_000000005,R000000005,O000056400,C0023950,2024-07-30 06:35:03,COMPLETED,WRONG_ITEM,1860.25,2024-07-30 06:35:03,2024-07-30 06:35:03
SRC_RETURN_B001_000000006,R000000006,O000081294,C0047193,2025-08-04 10:22:40,COMPLETED,LATE_DELIVERY,475.48,2025-08-04 10:22:40,2025-08-04 10:22:40
SRC_RETURN_B001_000000007,R000000007,O000069532,C0043070,2024-11-14 10:53:40,COMPLETED,LATE_DELIVERY,567.47,2024-11-14 10:53:40,2024-11-14 10:53:40
SRC_RETURN_B001_000000008,R000000008,O000038565,C0048282,2025-03-04 19:02:42,COMPLETED,UNWANTED,13.36,2025-03-04 19:02:42,2025-03-04 19:02:42
SRC_RETURN_B001_000000009,R000000009,O000081481,C0026327,2025-02-24 21:56:05,COMPLETED,UNWANTED,631.99,2025-02-24 21:56:05,2025-02-24 21:56:05
SRC_RETURN_B001_000000010,R000000010,O000076095,C0047015,2026-07-25 01:07:45,COMPLETED,UNWANTED,185.57,2026-07-25 01:07:45,2026-07-25 01:07:45
SRC_RETURN_B001_000000011,R000000011,O000023340,C0037939,2024-03-07 03:47:31,COMPLETED,LATE_DELIVERY,757.72,2024-03-07 03:47:31,2024-03-07 03:47:31
SRC_RETURN_B001_000000012,R000000012,O000120708,C0007571,2024-12-16 16:24:52,COMPLETED,DEFECTIVE,1587.57,2024-12-16 16:24:52,2024-12-16 16:24:52
SRC_RETURN_B001_000000013,R000000013,O000114549,C0015976,2026-03-10 05:54:19,COMPLETED,WRONG_ITEM,442.26,2026-03-10 05:54:19,2026-03-10 05:54:19
SRC_RETURN_B001_000000014,R000000014,O000009782,C0032411,2026-05-20 11:55:34,COMPLETED,DAMAGED,546.59,2026-05-20 11:55:34,2026-05-20 11:55:34
SRC_RETURN_B001_000000015,R000000015,O000088782,C0016664,2024-09-16 18:55:54,COMPLETED,WRONG_ITEM,212.76,2024-09-16 18:55:54,2024-09-16 18:55:54
SRC_RETURN_B001_000000016,R000000016,O000076217,C0043962,2025-07-27 20:47:21,COMPLETED,WRONG_ITEM,1153.37,2025-07-27 20:47:21,2025-07-27 20:47:21
SRC_RETURN_B001_000000017,R000000017,O000021484,C0048025,2024-06-16 00:43:39,COMPLETED,SIZE_FIT,849.52,2024-06-16 00:43:39,2024-06-16 00:43:39
SRC_RETURN_B001_000000018,R000000018,O000066578,C0042937,2026-01-11 18:53:26,COMPLETED,SIZE_FIT,2088.79,2026-01-11 18:53:26,2026-01-11 18:53:26
SRC_RETURN_B001_000000019,R000000019,O000065738,C0040111,2024-05-21 11:24:40,COMPLETED,SIZE_FIT,1546.70,2024-05-21 11:24:40,2024-05-21 11:24:40
SRC_RETURN_B001_000000020,R000000020,O000066300,C0025121,2024-05-06 01:39:50,COMPLETED,DEFECTIVE,1732.58,2024-05-06 01:39:50,2024-05-06 01:39:50
SRC_RETURN_B001_000000021,R000000021,O000055604,C0028378,2024-08-13 04:36:28,COMPLETED,UNWANTED,537.17,2024-08-13 04:36:28,2024-08-13 04:36:28
SRC_RETURN_B001_000000022,R000000022,O000097161,C0039644,2024-08-09 22:50:15,COMPLETED,SIZE_FIT,1343.82,2024-08-09 22:50:15,2024-08-09 22:50:15
SRC_RETURN_B001_000000023,R000000023,O000105371,C0005345,2024-10-28 04:22:40,COMPLETED,UNWANTED,1027.09,2024-10-28 04:22:40,2024-10-28 04:22:40
SRC_RETURN_B001_000000024,R000000024,O000052567,C0007855,2024-10-06 18:52:20,COMPLETED,UNWANTED,1211.90,2024-10-06 18:52:20,2024-10-06 18:52:20
SRC_RETURN_B001_000000025,R000000025,O000014941,C0017201,2024-10-28 04:19:24,COMPLETED,DEFECTIVE,963.17,2024-10-28 04:19:24,2024-10-28 04:19:24
SRC_RETURN_B001_000000026,R000000026,O000019699,C0024780,2026-01-03 08:10:28,COMPLETED,DAMAGED,814.61,2026-01-03 08:10:28,2026-01-03 08:10:28
SRC_RETURN_B001_000000027,R000000027,O000079147,C0027726,2025-04-23 10:53:44,COMPLETED,DAMAGED,1636.77,2025-04-23 10:53:44,2025-04-23 10:53:44
SRC_RETURN_B001_000000028,R000000028,O000089981,C0038223,2024-06-16 20:47:27,COMPLETED,LATE_DELIVERY,2999.97,2024-06-16 20:47:27,2024-06-16 20:47:27
SRC_RETURN_B001_000000029,R000000029,O000036544,C0049254,2024-09-15 02:49:32,COMPLETED,DAMAGED,567.06,2024-09-15 02:49:32,2024-09-15 02:49:32
SRC_RETURN_B001_000000030,R000000030,O000052356,C0023993,2026-09-23 20:57:46,COMPLETED,DEFECTIVE,1186.94,2026-09-23 20:57:46,2026-09-23 20:57:46
SRC_RETURN_B001_000000031,R000000031,O000000037,C0014429,2026-05-26 05:26:10,COMPLETED,WRONG_ITEM,933.28,2026-05-26 05:26:10,2026-05-26 05:26:10
