source_record_id,category_id,parent_category_id,category_name,category_code,is_active,created_at,updated_at
SRC_CATEGORY_B001_000000001,CAT0001,,Electronics,CAT-0001,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000002,CAT0002,,Home,CAT-0002,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000003,CAT0003,,Clothing,CAT-0003,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000004,CAT0004,,Beauty,CAT-0004,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000005,CAT0005,,Sports,CAT-0005,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000006,CAT0006,,Grocery,CAT-0006,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000007,CAT0007,CAT0003,Category 7,CAT-0007,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000008,CAT0008,CAT0002,Category 8,CAT-0008,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000009,CAT0009,CAT0003,Category 9,CAT-0009,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000010,CAT0010,CAT0006,Category 10,CAT-0010,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000011,CAT0011,CAT0002,Category 11,CAT-0011,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000012,CAT0012,CAT0005,Category 12,CAT-0012,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000013,CAT0013,CAT0001,Category 13,CAT-0013,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000014,CAT0014,CAT0006,Category 14,CAT-0014,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000015,CAT0015,CAT0003,Category 15,CAT-0015,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000016,CAT0016,CAT0006,Category 16,CAT-0016,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000017,CAT0017,CAT0004,Category 17,CAT-0017,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000018,CAT0018,CAT0005,Category 18,CAT-0018,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000019,CAT0019,CAT0003,Category 19,CAT-0019,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000020,CAT0020,CAT0004,Category 20,CAT-0020,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000021,CAT0021,CAT0004,Category 21,CAT-0021,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000022,CAT0022,CAT0005,Category 22,CAT-0022,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000023,CAT0023,CAT0006,Category 23,CAT-0023,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000024,CAT0024,CAT0002,Category 24,CAT-0024,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000025,CAT0025,CAT0006,Category 25,CAT-0025,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000026,CAT0026,CAT0006,Category 26,CAT-0026,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000027,CAT0027,CAT0002,Category 27,CAT-0027,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000028,CAT0028,CAT0006,Category 28,CAT-0028,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000029,CAT0029,CAT0004,Category 29,CAT-0029,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
SRC_CATEGORY_B001_000000030,CAT0030,CAT0004,Category 30,CAT-0030,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
DEF_CATEGORY_CYCLE_B001_001,CAT_BAD_B001_1,CAT_BAD_B001_2,Electronics,CAT-0001,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
DEF_CATEGORY_CYCLE_B001_002,CAT_BAD_B001_2,CAT_BAD_B001_1,Home,CAT-0002,Y,2023-01-01 00:00:00,2023-01-01 00:00:00
