source_record_id,product_category_id,product_id,category_id,is_primary,active_from,active_to,created_at,updated_at
SRC_PRODUCT_CATEGORY_B001_000000001,PC00000001,P000001,CAT0024,Y,2025-06-10,,2025-06-10 16:56:12,2025-06-10 16:56:12
SRC_PRODUCT_CATEGORY_B001_000000002,PC00000002,P000002,CAT0007,Y,2025-06-06,,2025-06-06 18:15:29,2025-06-06 18:15:29
SRC_PRODUCT_CATEGORY_B001_000000003,PC00000003,P000003,CAT0028,Y,2024-10-23,,2024-10-23 07:16:59,2024-10-23 07:16:59
SRC_PRODUCT_CATEGORY_B001_000000004,PC00000004,P000003,CAT0012,N,2024-10-23,,2024-10-23 07:16:59,2024-10-23 07:16:59
SRC_PRODUCT_CATEGORY_B001_000000005,PC00000005,P000004,CAT0024,Y,2024-07-12,,2024-07-12 19:10:31,2024-07-12 19:10:31
SRC_PRODUCT_CATEGORY_B001_000000006,PC00000006,P000004,CAT0020,N,2024-07-12,,2024-07-12 19:10:31,2024-07-12 19:10:31
SRC_PRODUCT_CATEGORY_B001_000000007,PC00000007,P000005,CAT0010,Y,2024-04-03,,2024-04-03 05:01:02,2024-04-03 05:01:02
SRC_PRODUCT_CATEGORY_B001_000000008,PC00000008,P000005,CAT0009,N,2024-04-03,,2024-04-03 05:01:02,2024-04-03 05:01:02
SRC_PRODUCT_CATEGORY_B001_000000009,PC00000009,P000006,CAT0009,Y,2025-07-20,,2025-07-20 16:19:17,2025-07-20 16:19:17
SRC_PRODUCT_CATEGORY_B001_000000010,PC00000010,P000007,CAT0026,Y,2025-11-26,,2025-11-26 21:42:52,2025-11-26 21:42:52
SRC_PRODUCT_CATEGORY_B001_000000011,PC00000011,P000007,CAT0015,N,2025-11-26,,2025-11-26 21:42:52,2025-11-26 21:42:52
SRC_PRODUCT_CATEGORY_B001_000000012,PC00000012,P000008,CAT0013,Y,2025-12-30,,2025-12-30 21:14:12,2025-12-30 21:14:12
SRC_PRODUCT_CATEGORY_B001_000000013,PC00000013,P000009,CAT0027,Y,2025-12-18,,2025-12-18 13:03:47,2025-12-18 13:03:47
SRC_PRODUCT_CATEGORY_B001_000000014,PC00000014,P000009,CAT0023,N,2025-12-18,,2025-12-18 13:03:47,2025-12-18 13:03:47
SRC_PRODUCT_CATEGORY_B001_000000015,PC00000015,P000009,CAT0020,N,2025-12-18,,2025-12-18 13:03:47,2025-12-18 13:03:47
SRC_PRODUCT_CATEGORY_B001_000000016,PC00000016,P000010,CAT0021,Y,2026-04-10,,2026-04-10 18:22:04,2026-04-10 18:22:04
SRC_PRODUCT_CATEGORY_B001_000000017,PC00000017,P000010,CAT0020,N,2026-04-10,,2026-04-10 18:22:04,2026-04-10 18:22:04
SRC_PRODUCT_CATEGORY_B001_000000018,PC00000018,P000011,CAT0013,Y,2023-04-06,,2023-04-06 12:31:23,2023-04-06 12:31:23
SRC_PRODUCT_CATEGORY_B001_000000019,PC00000019,P000012,CAT0015,Y,2024-12-07,,2024-12-07 20:15:08,2024-12-07 20:15:08
SRC_PRODUCT_CATEGORY_B001_000000020,PC00000020,P000013,CAT0020,Y,2025-11-10,,2025-11-10 13:53:26,2025-11-10 13:53:26
SRC_PRODUCT_CATEGORY_B001_000000021,PC00000021,P000013,CAT0030,N,2025-11-10,,2025-11-10 13:53:26,2025-11-10 13:53:26
SRC_PRODUCT_CATEGORY_B001_000000022,PC00000022,P000013,CAT0024,N,2025-11-10,,2025-11-10 13:53:26,2025-11-10 13:53:26
SRC_PRODUCT_CATEGORY_B001_000000023,PC00000023,P000014,CAT0019,Y,2025-08-30,,2025-08-30 06:55:03,2025-08-30 06:55:03
SRC_PRODUCT_CATEGORY_B001_000000024,PC00000024,P000015,CAT0027,Y,2026-04-25,,2026-04-25 21:47:27,2026-04-25 21:47:27
SRC_PRODUCT_CATEGORY_B001_000000025,PC00000025,P000015,CAT0014,N,2026-04-25,,2026-04-25 21:47:27,2026-04-25 21:47:27
SRC_PRODUCT_CATEGORY_B001_000000026,PC00000026,P000015,CAT0022,N,2026-04-25,,2026-04-25 21:47:27,2026-04-25 21:47:27
SRC_PRODUCT_CATEGORY_B001_000000027,PC00000027,P000016,CAT0011,Y,2024-05-24,,2024-05-24 13:10:16,2024-05-24 13:10:16
SRC_PRODUCT_CATEGORY_B001_000000028,PC00000028,P000017,CAT0012,Y,2023-02-23,,2023-02-23 01:07:47,2023-02-23 01:07:47
SRC_PRODUCT_CATEGORY_B001_000000029,PC00000029,P000017,CAT0009,N,2023-02-23,,2023-02-23 01:07:47,2023-02-23 01:07:47
SRC_PRODUCT_CATEGORY_B001_000000030,PC00000030,P000018,CAT0025,Y,2026-06-20,,2026-06-20 10:48:30,2026-06-20 10:48:30
SRC_PRODUCT_CATEGORY_B001_000000031,PC00000031,P000019,CAT0016,Y,2026-01-31,,2026-01-31 01:36:22,2026-01-31 01:36:22
SRC_PRODUCT_CATEGORY_B001_000000032,PC00000032,P000019,CAT0030,N,2026-01-31,,2026-01-31 01:36:22,2026-01-31 01:36:22
SRC_PRODUCT_CATEGORY_B001_000000033,PC00000033,P000020,CAT0014,Y,2025-09-14,,2025-09-14 15:52:39,2025-09-14 15:52:39
SRC_PRODUCT_CATEGORY_B001_000000034,PC00000034,P000020,CAT0020,N,2025-09-14,,2025-09-14 15:52:39,2025-09-14 15:52:39
SRC_PRODUCT_CATEGORY_B001_000000035,PC00000035,P000021,CAT0014,Y,2025-04-09,,2025-04-09 11:04:01,2025-04-09 11:04:01
SRC_PRODUCT_CATEGORY_B001_000000036,PC00000036,P000022,CAT0012,Y,2025-02-02,,2025-02-02 04:10:00,2025-02-02 04:10:00
SRC_PRODUCT_CATEGORY_B001_000000037,PC00000037,P000023,CAT0019,Y,2024-05-12,,2024-05-12 06:00:06,2024-05-12 06:00:06
SRC_PRODUCT_CATEGORY_B001_000000038,PC00000038,P000024,CAT0025,Y,2025-08-06,,2025-08-06 22:58:55,2025-08-06 22:58:55
SRC_PRODUCT_CATEGORY_B001_000000039,PC00000039,P000025,CAT0009,Y,2025-10-08,,2025-10-08 17:38:56,2025-10-08 17:38:56
SRC_PRODUCT_CATEGORY_B001_000000040,PC00000040,P000026,CAT0023,Y,2023-08-01,,2023-08-01 00:02:45,2023-08-01 00:02:45
SRC_PRODUCT_CATEGORY_B001_000000041,PC00000041,P000026,CAT0011,N,2023-08-01,,2023-08-01 00:02:45,2023-08-01 00:02:45
SRC_PRODUCT_CATEGORY_B001_000000042,PC00000042,P000026,CAT0016,N,2023-08-01,,2023-08-01 00:02:45,2023-08-01 00:02:45
SRC_PRODUCT_CATEGORY_B001_000000043,PC00000043,P000027,CAT0025,Y,2023-07-30,,2023-07-30 04:13:23,2023-07-30 04:13:23
SRC_PRODUCT_CATEGORY_B001_000000044,PC00000044,P000027,CAT0017,N,2023-07-30,,2023-07-30 04:13:23,2023-07-30 04:13:23
SRC_PRODUCT_CATEGORY_B001_000000045,PC00000045,P000028,CAT0018,Y,2025-04-21,,2025-04-21 20:27:20,2025-04-21 20:27:20
SRC_PRODUCT_CATEGORY_B001_000000046,PC00000046,P000029,CAT0012,Y,2024-03-01,,2024-03-01 10:40:53,2024-03-01 10:40:53
SRC_PRODUCT_CATEGORY_B001_000000047,PC00000047,P000029,CAT0013,N,2024-03-01,,2024-03-01 10:40:53,2024-03-01 10:40:53
SRC_PRODUCT_CATEGORY_B001_000000048,PC00000048,P000030,CAT0024,Y,2023-12-04,,2023-12-04 06:10:36,2023-12-04 06:10:36
SRC_PRODUCT_CATEGORY_B001_000000049,PC00000049,P000030,CAT0030,N,2023-12-04,,2023-12-04 06:10:36,2023-12-04 06:10:36
