source_record_id,return_item_id,return_id,order_item_id,product_id,quantity,refund_amount,return_reason,created_at,updated_at
SRC_RETURN_ITEM_B002_000000001,RI0000036460,R000022006,OI0000000590,P000028,3,1453.56,LATE_DELIVERY,2025-07-04 05:11:42,2025-07-04 05:11:42
SRC_RETURN_ITEM_B002_000000002,RI0000036461,R000022653,OI0000000896,P000252,2,2253.55,LATE_DELIVERY,2026-01-26 11:10:46,2026-01-26 11:10:46
SRC_RETURN_ITEM_B002_000000003,RI0000036462,R000022653,OI0000000893,P000207,1,472.54,DAMAGED,2026-01-26 11:10:46,2026-01-26 11:10:46
SRC_RETURN_ITEM_B002_000000004,RI0000036463,R000022794,OI0000001364,P000341,1,907.36,SIZE_FIT,2025-01-05 07:27:28,2025-01-05 07:27:28
SRC_RETURN_ITEM_B002_000000005,RI0000036464,R000022794,OI0000001365,P000017,1,503.54,LATE_DELIVERY,2025-01-05 07:27:28,2025-01-05 07:27:28
SRC_RETURN_ITEM_B002_000000006,RI0000036465,R000022579,OI0000001552,P000311,1,582.23,LATE_DELIVERY,2024-04-22 12:03:34,2024-04-22 12:03:34
SRC_RETURN_ITEM_B002_000000007,RI0000036466,R000022579,OI0000001553,P000053,1,896.06,UNWANTED,2024-04-22 12:03:34,2024-04-22 12:03:34
SRC_RETURN_ITEM_B002_000000008,RI0000036467,R000021488,OI0000001685,P000494,1,776.65,DEFECTIVE,2024-04-09 03:10:52,2024-04-09 03:10:52
SRC_RETURN_ITEM_B002_000000009,RI0000036468,R000022265,OI0000001794,P000306,1,1043.64,SIZE_FIT,2026-09-15 04:21:49,2026-09-15 04:21:49
SRC_RETURN_ITEM_B002_000000010,RI0000036469,R000022265,OI0000001796,P000061,1,620.92,SIZE_FIT,2026-09-15 04:21:49,2026-09-15 04:21:49
SRC_RETURN_ITEM_B002_000000011,RI0000036470,R000021592,OI0000002246,P000474,1,622.04,WRONG_ITEM,2025-12-03 04:35:33,2025-12-03 04:35:33
SRC_RETURN_ITEM_B002_000000012,RI0000036471,R000021929,OI0000002560,P000004,1,256.84,LATE_DELIVERY,2024-11-25 02:01:09,2024-11-25 02:01:09
SRC_RETURN_ITEM_B002_000000013,RI0000036472,R000022522,OI0000002593,P000108,1,480.24,DAMAGED,2026-03-10 03:42:25,2026-03-10 03:42:25
SRC_RETURN_ITEM_B002_000000014,RI0000036473,R000022522,OI0000002592,P000416,1,921.08,DAMAGED,2026-03-10 03:42:25,2026-03-10 03:42:25
SRC_RETURN_ITEM_B002_000000015,RI0000036474,R000022752,OI0000003284,P000249,2,2211.89,LATE_DELIVERY,2025-06-17 04:34:18,2025-06-17 04:34:18
SRC_RETURN_ITEM_B002_000000016,RI0000036475,R000021335,OI0000003532,P000475,1,975.88,UNWANTED,2024-01-29 06:37:32,2024-01-29 06:37:32
SRC_RETURN_ITEM_B002_000000017,RI0000036476,R000021335,OI0000003530,P000066,3,1026.22,SIZE_FIT,2024-01-29 06:37:32,2024-01-29 06:37:32
SRC_RETURN_ITEM_B002_000000018,RI0000036477,R000022643,OI0000003955,P000368,1,563.34,UNWANTED,2024-03-14 09:56:47,2024-03-14 09:56:47
SRC_RETURN_ITEM_B002_000000019,RI0000036478,R000021810,OI0000004321,P000031,1,794.38,SIZE_FIT,2024-10-28 21:20:12,2024-10-28 21:20:12
SRC_RETURN_ITEM_B002_000000020,RI0000036479,R000021810,OI0000004319,P000026,1,1048.19,UNWANTED,2024-10-28 21:20:12,2024-10-28 21:20:12
SRC_RETURN_ITEM_B002_000000021,RI0000036480,R000022228,OI0000004597,P000242,1,354.62,DEFECTIVE,2025-07-17 16:39:52,2025-07-17 16:39:52
SRC_RETURN_ITEM_B002_000000022,RI0000036481,R000022415,OI0000004639,P000294,2,788.14,DAMAGED,2025-11-02 18:15:44,2025-11-02 18:15:44
SRC_RETURN_ITEM_B002_000000023,RI0000036482,R000022691,OI0000004767,P000103,1,138.71,DEFECTIVE,2024-08-12 11:37:40,2024-08-12 11:37:40
SRC_RETURN_ITEM_B002_000000024,RI0000036483,R000022691,OI0000004765,P000310,1,676.38,DEFECTIVE,2024-08-12 11:37:40,2024-08-12 11:37:40
SRC_RETURN_ITEM_B002_000000025,RI0000036484,R000021674,OI0000004978,P000055,1,585.34,LATE_DELIVERY,2025-10-23 15:13:07,2025-10-23 15:13:07
SRC_RETURN_ITEM_B002_000000026,RI0000036485,R000021674,OI0000004975,P000265,1,379.63,DAMAGED,2025-10-23 15:13:07,2025-10-23 15:13:07
SRC_RETURN_ITEM_B002_000000027,RI0000036486,R000021673,OI0000005215,P000198,1,975.43,SIZE_FIT,2026-09-29 03:11:12,2026-09-29 03:11:12
SRC_RETURN_ITEM_B002_000000028,RI0000036487,R000021673,OI0000005216,P000074,2,1412.81,SIZE_FIT,2026-09-29 03:11:12,2026-09-29 03:11:12
SRC_RETURN_ITEM_B002_000000029,RI0000036488,R000021673,OI0000005217,P000124,1,537.92,LATE_DELIVERY,2026-09-29 03:11:12,2026-09-29 03:11:12
SRC_RETURN_ITEM_B002_000000030,RI0000036489,R000022736,OI0000005480,P000065,3,2087.75,UNWANTED,2025-08-26 12:13:44,2025-08-26 12:13:44
SRC_RETURN_ITEM_B002_000000031,RI0000036490,R000022736,OI0000005482,P000489,1,352.19,SIZE_FIT,2025-08-26 12:13:44,2025-08-26 12:13:44
SRC_RETURN_ITEM_B002_000000032,RI0000036491,R000022736,OI0000005481,P000466,1,376.16,UNWANTED,2025-08-26 12:13:44,2025-08-26 12:13:44
SRC_RETURN_ITEM_B002_000000033,RI0000036492,R000022273,OI0000005655,P000043,1,251.70,UNWANTED,2026-03-07 11:55:59,2026-03-07 11:55:59
SRC_RETURN_ITEM_B002_000000034,RI0000036493,R000022273,OI0000005656,P000309,1,20.89,DAMAGED,2026-03-07 11:55:59,2026-03-07 11:55:59
SRC_RETURN_ITEM_B002_000000035,RI0000036494,R000021564,OI0000005826,P000304,1,496.22,DEFECTIVE,2025-04-14 07:54:44,2025-04-14 07:54:44
SRC_RETURN_ITEM_B002_000000036,RI0000036495,R000022761,OI0000006070,P000269,1,808.49,UNWANTED,2026-08-06 21:19:39,2026-08-06 21:19:39
SRC_RETURN_ITEM_B002_000000037,RI0000036496,R000022761,OI0000006071,P000244,1,673.10,SIZE_FIT,2026-08-06 21:19:39,2026-08-06 21:19:39
SRC_RETURN_ITEM_B002_000000038,RI0000036497,R000022704,OI0000006088,P000301,1,100.79,DEFECTIVE,2024-12-14 05:19:51,2024-12-14 05:19:51
SRC_RETURN_ITEM_B002_000000039,RI0000036498,R000022704,OI0000006089,P000187,1,315.71,DEFECTIVE,2024-12-14 05:19:51,2024-12-14 05:19:51
SRC_RETURN_ITEM_B002_000000040,RI0000036499,R000022704,OI0000006090,P000113,1,244.01,LATE_DELIVERY,2024-12-14 05:19:51,2024-12-14 05:19:51
SRC_RETURN_ITEM_B002_000000041,RI0000036500,R000022739,OI0000006278,P000349,1,376.78,LATE_DELIVERY,2025-08-11 12:02:10,2025-08-11 12:02:10
