batch_id,entity,file_name,relative_path,row_count,column_count,primary_business_key,file_size_bytes,sha256
B001,customer,customer_B001.csv,B001/customer_B001.csv,50108,11,customer_id,8227618,520f22b8c600cd0061ffced92d9524ea4daebdfdfada743bb88a17524a8477ce
B001,address,address_B001.csv,B001/address_B001.csv,64138,13,address_id,9293450,1f9e5bc0ff14f46123e7196b561259b8d941006abd64605277cc26f9d675434b
B001,product,product_B001.csv,B001/product_B001.csv,502,10,product_id,62710,854c797eeed78f2fe0f6dc6badb36e4913c421de5eabf3ebfc48a26e4513bc1f
B001,category,category_B001.csv,B001/category_B001.csv,32,8,category_id,3484,18a3036dcc2562a983a984acd2d87156853a376f57226a74149ef3f76eff1f26
B001,product_category,product_category_B001.csv,B001/product_category_B001.csv,760,9,product_category_id,89056,d55c86075818f67bee534e8a460b7e0a34e0f5796e85a754288ca78e1259f6fd
B001,order,order_B001.csv,B001/order_B001.csv,120821,16,order_id,21753926,2a0a1e8efed9edbdc5a1ec50616730129f132cbca4b1ca6c50052c6cade07635
B001,order_item,order_item_B001.csv,B001/order_item_B001.csv,371835,11,order_item_id,48379725,aac188d243bc5ae80ece26a6cd9b999c613c1b43c92fbdc7c3ed956979625d63
B001,payment,payment_B001.csv,B001/payment_B001.csv,126246,12,payment_id,21548168,b48ff435f471dd7c434d2737ae162b2e499883ea0434206891c84dfe50e19559
B001,return,return_B001.csv,B001/return_B001.csv,21300,10,return_id,3081290,e35802d6f378b21c0e20541b427b90945e266a37599fc38583981e003dc5fb12
B001,return_item,return_item_B001.csv,B001/return_item_B001.csv,36461,10,return_item_id,4933376,de20286e892215047d173cedcc6a20344c34c9e6bea55b4dc76e54dd39af08c3
B002,customer,customer_B002.csv,B002/customer_B002.csv,1703,11,customer_id,280099,25d803ba95f524a57d1bda809087e9197b2786f7d7ad1529766a11e9d61f85a9
B002,address,address_B002.csv,B002/address_B002.csv,1824,13,address_id,264852,f606a730be1d69074a202e93f2e48cb4e7954acb0a8eab67e7cfa76a50e77196
B002,product,product_B002.csv,B002/product_B002.csv,152,10,product_id,19112,67e0f4cf987e91ac4660bac240d1a6c18849f57cfbaa2d54b70b99d407150b7f
B002,category,category_B002.csv,B002/category_B002.csv,12,8,category_id,1481,87ee0ff22067fae774cdffc8902b96a1b8b1538d79fea9b6c92f1699f1b81866
B002,product_category,product_category_B002.csv,B002/product_category_B002.csv,113,9,product_category_id,13777,d60837acd614ec08aedbc63abfe95d13b9b9546cc4aa0b497f56198d51b9dcb2
B002,order,order_B002.csv,B002/order_B002.csv,10002,16,order_id,1801061,77c26cd024dad94b2a35537c0384472f54e13994713db97deb8dd6c42ef0efbf
B002,order_item,order_item_B002.csv,B002/order_item_B002.csv,30876,11,order_item_id,4018234,73374ab3ba9ee4244282019aaecdd8570b23f246953211cb8313f29a46d4dab4
B002,payment,payment_B002.csv,B002/payment_B002.csv,10390,12,payment_id,1773813,338a8cec61ba02dcd6878259ce441a8657b1476a8d84a5639b35e2cb37d9127f
B002,return,return_B002.csv,B002/return_B002.csv,1501,10,return_id,217218,1552c6455fc96aac90b7a3cbd122c5c12568aba62bdfdfbb4fec89f1ea683664
B002,return_item,return_item_B002.csv,B002/return_item_B002.csv,2590,10,return_item_id,350451,4eb185678a40c91be187fac6bd044c6fb1a612d0e274f83832bcd755f8f456b9
